COD_PROVINCIA;NOM_PROVINCIA;COD_MUNICIPIO;TIPO;NOMBRE;DIRECCION;COD_POSTAL;TELEFONO;FAX;WEB;CATALOGO;EMAIL;CENTRAL;COD_CARACTER;DESC_CARACTER;DECRETO
03;ALICANTE;110;AGENCIA DE LECTURA;AGENCIA DE LECTURA  RÀFOL D'ALMÚNIA (EL);CALLE SEGARIA Nº 12 PISO 1;, CP 03769; TELF.966668426; ; ; ;BIBLIOTECA@RAFOL.ORG;N;PU;PÚBLICA;N
03;ALICANTE;111;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  REDOVÁN;CALLE SAN JERÓNIMO Nº 1 PISO 2;, CP 03370; TELF.966754263; FAX.966754213 AYTO; ; ;BIBLIOTECAREDOVAN@HOTMAIL.COM;N;PU;PÚBLICA;N
03;ALICANTE;113;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL MIGUEL ORTEGA ROJALES;CALLE ZULAIDA Nº 20;, CP 03170; TELF.966712038; ; ; ; ;N;PU;PÚBLICA;N
03;ALICANTE;114;AGENCIA DE LECTURA;AGENCIA DE LECTURA GÓMEZ NAVARRO ROMANA (LA);CALLE CERVANTES Nº 8;, CP 03669; TELF.965696738/965696467; ; ; ; ;N;PU;PÚBLICA;N
03;ALICANTE;116;AGENCIA DE LECTURA;AGENCIA DE LECTURA  SALINAS;CALLE COMPARSA DE MOROS LAGUNEROS Nº S/N;, CP 03638; TELF.965479001 AYTO; FAX.966973001 AYTO;HTTP://WWW.SALINAS.ES/SERVICIOS-AL-CIUDADANO/BIBLIOTECA-MUNICIPAL; ;BIBLIOTECA@SALINAS.ES;N;PU;PÚBLICA;N
03;ALICANTE;117;OTRAS PÚBLICAS;OTRAS PÚBLICAS  SANET Y NEGRALS;CALLE MAYOR Nº S/N;, CP 03769; TELF.966408208 AYTO; FAX.966408147 AYTO; ; ; ;N;PU;PÚBLICA;N
03;ALICANTE;118;OTRAS PÚBLICAS;OTRAS PÚBLICAS  SAN FULGENCIO;CALLE LEPANTO Nº 9;, CP 03177; TELF.966794518; FAX.966794430 AYTO;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/SANFULGENCIO/; ;CENTROCIVICO@AYTO-SANFULGENCIO.ES;N;PU;PÚBLICA;N
03;ALICANTE;119;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA CIENCIAS DE LA SALUD-UNIVERSIDAD MIGUEL HERNÁNDEZ SANT JOAN D'ALACANT;CARRETERA DE VALENCIA KM,87 C. SANT JOAN D'ALACANT;, CP 03550; TELF.965919328; FAX.965919502;HTTP://WWW.UMH.ES/BIBLIOTECAS/;HTTP://WWW.UMH.ES/BIBLIOTECAS/CATALOGO/;BIBLIO.CCSALUD@UMH.ES;N;PU;PÚBLICA;N
03;ALICANTE;119;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  SANT JOAN D'ALACANT;AVENIDA RAMBLA DE LA LLIBERTAT Nº 22;, CP 03550; TELF.966389740; FAX.965650360;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/SANTJOANDALACANT;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/SANTJOANDALACANT/CATALOGO_ENLINEA.JSP;BIBLIOTECA@SANTJOANDALACANT.ES;N;PU;PÚBLICA;S
03;ALICANTE;12;AGENCIA DE LECTURA;AGENCIA DE LECTURA  ALGORFA;CALLE CONSTITUCION Nº 35;, CP 03169; TELF.966781637; FAX.966780010 AYTO;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/ALGORFA/INDEX.JSP;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0156;BIBLIO-ALGORFA@HOTMAIL.ES;N;PU;PÚBLICA;S
03;ALICANTE;120;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  SAN MIGUEL DE SALINAS;CALLE VICENTE BLASCO IBA?EZ Nº 1;, CP 03193; TELF.965720396; FAX.965720007 AYTO;HTTP://BIBLIOSANMIGUEL.EDUBLOGS.ORG;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0127;BIBLIOTECASMS@GMAIL.COM ;N;PU;PÚBLICA;S
03;ALICANTE;121;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL INTERNACIONAL DE GRAN ALACANT SANTA POLA;AVENIDA ESCANDINAVIA Nº 31;, CP 03130; TELF.966697110; FAX.965413792;HTTP://WWW.BIBLIOTEQUES.WORDPRESS.COM ;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0023;SANTAPOLA.BIGA1@GMAIL.COM;N;PU;PÚBLICA;N
03;ALICANTE;121;BIBLIOTECA INFANTIL;BIBLIOTECA INFANTIL  SANTA POLA;CALLE CASTA?OS Nº 10-12;, CP 03130; TELF.966694008; FAX.966693736;HTTP://WWW.BIBLIOTEQUES.WORDPRESS.COM;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0023;BIBLIOINF.SANTAPOLA@CV.GVA.ES/BIBLIOTECA.INFANTILSANTAPOLA@GMAIL.COM;N;PU;PÚBLICA;N
03;ALICANTE;121;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  SANTA POLA;CALLE ELX Nº 26;, CP 03130; TELF.966692773; FAX.966792776;HTTP://WWW.BIBLIOTEQUES.WORDPRESS.COM;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0023;BIBLIOTECA.SANTAPOLA@GMAIL.COM;S;PU;PÚBLICA;N
03;ALICANTE;122;BIBLIOTECA INFANTIL;BIBLIOTECA INFANTIL I JUVENIL MIGUEL HERNANDEZ SANT VICENT DEL RASPEIG;PLAZA DE LA COMUNITAT VALENCIANA Nº 2 ESC. BA;, CP 03690; TELF.966143649; ;HTTP://BIBLIOTECA.RASPEIG.ES;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0114;BIBLIOTECAINFANTIL@RASPEIG.ORG;N;PU;PÚBLICA;N
03;ALICANTE;122;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL MIGUEL DELIBES SANT VICENT DEL RASPEIG;PLAZA HUERTO DE LOS LEONES Nº 1;, CP 03690; TELF.965667422; ;HTTP://BIBLIOTECA.RASPEIG.ES;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0114;BIBLIOTECA@RASPEIG.ORG;S;PU;PÚBLICA;S
03;ALICANTE;123;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL JOSE AZUAR SAX;CALLE GRAN VIA Nº 48;, CP 03630; TELF.965475748; FAX.965475399 AYTO;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0102;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0102;BIBLIOTECA@SAX.ES;N;PU;PÚBLICA;N
03;ALICANTE;124;OTRAS PÚBLICAS;OTRAS PÚBLICAS  SELLA;AVENIDA DE ALCOY Nº 13;, CP 03579; TELF.965879001 AYTO; FAX.965879556 AYTO; ; ;BIBLIOTECADESELLA@GMAIL.COM;N;PU;PÚBLICA;N
03;ALICANTE;125;AGENCIA DE LECTURA;AGENCIA DE LECTURA GUILLERMO ZEILBECK SENIJA;AVENIDA CONSTITUCION Nº S/N;, CP 03729; TELF.626831453; FAX.965732273 AYTO;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/SENIJA;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0142;AGENCIA_SENITJA@HOTMAIL.COM;N;PU;PÚBLICA;N
03;ALICANTE;128;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL  TEULADA;AVENIDA DE SANTA CATERINA Nº 2;, CP 03725; TELF.965740158 EXT-1803; FAX.965740166;HTTP://WWW.TEULADAMORAIRA.ORG/INDEX.PHP?OPTION=COM_CONTENT&VIEW=ARTICLE&ID=100&ITEMID=508&LANG=ES;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0088;BIBLIOTECA@TEULADAMORAIRA.ORG / AIVARSB@TEULADAMORAIRA.ORG;S;PU;PÚBLICA;N
03;ALICANTE;128;AGENCIA DE LECTURA;"AGENCIA DE LECTURA MORAIRA-ESPAI ""LA SENIETA"" TEULADA";AVENIDA MADRID Nº 15 PISO 1?;, CP 03724; TELF.966490976 EXT.2; FAX.965741287;HTTP://WWW.TEULADAMORAIRA.ORG/INDEX.PHP?OPTION=COM_CONTENT&VIEW=ARTICLE&ID=100&ITEMID=508&LANG=ES.;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0088;BIBLIOTECA@TEULADAMORAIRA.ORG / MVIVESS@TEULADAMORAIRA.ORG;N;PU;PÚBLICA;N
03;ALICANTE;129;AGENCIA DE LECTURA;AGENCIA DE LECTURA  TIBI;PASEO LA SANTA Nº S/N;, CP 03109; TELF.965617152; FAX.965617141 AYTO; ;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0176;BIBLIOTECA@TIBI.ES;N;PU;PÚBLICA;S
03;ALICANTE;13;OTRAS PÚBLICAS;OTRAS PÚBLICAS  ALGUEÑA;PLAZA DE LA CONCORDIA Nº S/N;, CP 03668; TELF.965476001 AYTO; FAX.965476300 AYTO; ; ;CULTURA@ALGUENYA.ES;N;PU;PÚBLICA;N
03;ALICANTE;133;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL CARMEN JALON TORREVIEJA;CALLE JOAQUIN CHAPAPRIETA Nº 39;, CP 03181; TELF.965703168; ;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0066;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0066;TORREVIEJA.BIBLIOTECA@CV.GVA.ES;N;PU;PÚBLICA;S
03;ALICANTE;133;AGENCIA DE LECTURA;AGENCIA DE LECTURA  TORREVIEJA;AVENIDA DIEGO RAMIREZ PASTOR Nº 5;, CP 03181; TELF.965074323; ; ;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0066;AGENCIA.LECTURA@TORREVIEJA.EU;N;PU;PÚBLICA;S
03;ALICANTE;136;OTRAS PÚBLICAS;OTRAS PÚBLICAS  BENIALI;CARRETERA 35 DE BENIALI PISO 1;, CP 03787; TELF.966406553 AYTO; FAX.966406566 AYTO; ; ;AJGALLINERA@GMAIL.COM;N;PU;PÚBLICA;N
03;ALICANTE;137;AGENCIA DE LECTURA;AGENCIA DE LECTURA  FLEIX;CALLE L'ERA Nº 1;, CP 03791; TELF.965583301 AYTO; FAX.965583301 AYTO; ; ; ;N;PU;PÚBLICA;N
03;ALICANTE;137;AGENCIA DE LECTURA;AGENCIA DE LECTURA  CAMPELL;CALLE REI EN JAUME Nº 33 PISO 1;, CP 03791; TELF.965583301 AYTO; FAX.965583310 AYTO; ; ; ;N;PU;PÚBLICA;N
03;ALICANTE;137;AGENCIA DE LECTURA;AGENCIA DE LECTURA  BENIMAURELL;PLAZA DEL SACRAMENTO Nº 1 PISO 1;, CP 03791; TELF.965583301 AYTO; FAX.965583310 AYTO; ; ; ;N;PU;PÚBLICA;N
03;ALICANTE;138;AGENCIA DE LECTURA;AGENCIA DE LECTURA  VERGER (EL);CALLE MESTRE JOSE VIVES Nº 8;, CP 03770; TELF.673625250; FAX.965750872 AYTO; ;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0191;BIBLIOTECA@ELVERGER.ES;N;PU;PÚBLICA;S
03;ALICANTE;139;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL CRISTOBAL ZARAGOZA VILA JOIOSA (LA);CALLE BARRANQUET Nº 4;, CP 03570; TELF.965891698; FAX.966853057;HTTP://WWW.VILLAJOYOSA.COM/SITES/BIBLIOTECA/;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0073;BIBLIOTECA@VILLAJOYOSA.COM;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA GENERAL ALACANT;CALLE APDO. CORREOS Nº 99;, CP 03080; TELF.965903400/3479; FAX.965909692/3735;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM;SIBID@UA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA DE FILOSOFÍA Y LETRAS-CAMPUS SANT VICENT RASPEIG ALACANT;EDIFICIO BIBLIOTECA GENERAL-APDO. CORREOS Nº 99;, CP 03080; TELF.965903400/2814/3016; FAX.965909361;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM;BIBLI.FL@UA.ES ;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA DE ECONÓMICAS Y EMPRESARIALES FACULTAD CIENCIAS ECONÓMICAS ALACANT;CARRETERA SAN VICENTE DEL RASPEIG S/N-APDO.CORREOS Nº 99;, CP 03080; TELF.965903400/3130/3392; FAX.965903624;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM;BIBLI.ECONOMIQUES@UA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA DE DERECHO ALACANT;N/C APDO. CORREOS Nº 99;, CP 03080; TELF.965903574/965909337; FAX.965903630;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM;BIBLI.DRET@UA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA POLITÉCNICA Y ENFERMERÍA CAMPUS SANT VICENT RASPEIG ALACANT;EDIFICIO BIBLIOTECA GENERAL.APDO CORREOS Nº 99;, CP 03080; TELF.965903400 EXT-3398; ;HTTP://BIBLIOTECA.UA.ES/ES/POLITECNICA-ENFERMERIA/  ;HTTP://GAUDI.UA.ES;BIBLI.EPS@UA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA DE GEOGRAFÍA ALACANT;N/C APDO. CORREOS Nº 99;, CP 03080; TELF.965909436/965903423; FAX.965903423;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM;BIBLI.GEOGRAFIA@UA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA UNIVERSITARIA;BIBLIOTECA UNIVERSITARIA DE EDUCACIÓN ALACANT;CARRETERA SAN VICENTE DEL RASPEIG S/N.APDO.CORREOS Nº 99;, CP 03080; TELF.965903738/965909622; FAX.965909482;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM;HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM;BIBLI.MAGISTERI@UA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA ALICANTINA-INSTITUTO DE CULTURA JUAN GIL-ALBERT ALACANT;CALLE SAN FERNANDO Nº 44;, CP 03001; TELF.965121214/6; FAX.965921824;HTTP://WWW.DIP-ALICANTE.ES/GA/GILALBERT/;HTTP://ABSYS.DIP-ALICANTE.ES/CGI-BIN/ABWEBP.EXE;GALBERT@DIP-ALICANTE.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA C O APAREJADORES,ARQUITECTOS E INGENIEROS DE LA EDIFICACIÓN ALACANT;CALLE CÁTEDRA FERRÉ VIDIELLA Nº 7;, CP 03005; TELF.965227817; FAX.965124404 ;HTTP://WWW.COAATALICANTE.ORG/; ;BIBLIOTECA@APAREJADORESALICANTE.ORG;N;PR;PRIVADA;N
03;ALICANTE;14;BIBLIOTECA PUBLICA MUNICIPAL;BIBLIOTECA PUBLICA MUNICIPAL CENTRAL FLORIDA-BABEL ALACANT;AVENIDA ALCALDE LORENZO CARBONELL Nº 58;, CP 03007; TELF.965107167; ;HTTP://HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117;HTTP://HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117;BIBLIOTECA.FLORIDA.BABEL@ALICANTE-AYTO.ES;S;PU;PÚBLICA;S
03;ALICANTE;14;AGENCIA DE LECTURA;AGENCIA DE LECTURA JUAN XXIII ALACANT;CALLE BARITONO PACO LATORRE Nº S/N;, CP 03015; TELF.965176575; ;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117;BIBLIOTECA.JUAN23@ALICANTE-AYTO.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA PRIVADA;BIBLIOTECA PRIVADA REAL LICEO CASINO DE ALICANTE ALACANT;EXPLANADA DE ESPAÑA Nº 16;, CP 03001; TELF.965213829; FAX.965213829;HTTP://REALLICEOCASINOALICANTE.COM/INSTITUCION/BIBLIOTECA.HTM; ;CASINOALICANTE@REALLICEO.ES;N;PR;PRIVADA;N
03;ALICANTE;14;BIBLIOTECA PENITENCIARIA;BIBLIOTECA PENITENCIARIA CENTRO PENITENCIARIO-CUMPLIMIENTO FONTCALENT ALACANT;POLÍGONO PLA DE LA VALLONGA Nº S/N;, CP 03071; TELF.965287355-EXT 154; FAX.965287944; ; ; ;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA ILUSTRE COLEGIO PROVINCIAL DE ABOGADOS ALACANT;CALLE GRAVINA Nº 4 PISO 2;, CP 03002; TELF.965145180-EXT 21-24; FAX.965200788;HTTP://WWW.ICALI.ES; ;BIBLIOTECA@ICALI.ES;N;PR;PRIVADA;N
03;ALICANTE;14;BIBLIOTECA HOSPITALARIA;BIBLIOTECA HOSPITALARIA HOSPITAL GENERAL UNIVERSITARIO ALACANT;CALLE PINTOR BAEZA Nº 12;, CP 03010; TELF.965937940; FAX.965938234; ; ;CANTO_JOS@GVA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;AGENCIA DE LECTURA;AGENCIA DE LECTURA DE VILLAFRANQUEZA ALACANT;CALLE CASTELAR Nº 42;, CP 03112; TELF.965181090; ;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117;BIBLIOTECA.VILLAFRANQUEZA@ALICANTE-AYTO.ES;N;PU;PÚBLICA;S
03;ALICANTE;14;BIBLIOTECA GENERAL;BIBLIOTECA GENERAL GABRIEL MIRÓ (LA CAM) ALACANT;AVENIDA RAMÓN Y CAJAL Nº 5;, CP 03003; TELF..966012571/966012557; ;HTTP://WWW.BIBLIOTECASCAJAMEDITERRANEO.ES;HTTP://HTTP://WWW.REDBIBLIOTECASCAM.COM/WEB-SLSCAM/INDEX.HTM;BIBLIOTECAS@CAJAMEDITERRANEO.ES;N;PR;PRIVADA;N
03;ALICANTE;14;CENTRO DE DOCUMENTACION;CENTRO DE DOCUMENTACION EUROPEA  UNIVERSIDAD DE ALICANTE ALACANT;EDIFICIO Nº36 GERMÁN BERNÁCER.APARTADO 99;, CP 03080; TELF.965909800/5903841; FAX.965909810;HTTP://WWW.CDE.UA.ES/; ;CDE@UAFG.NET;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA AUXILIAR ARCHIVO;BIBLIOTECA AUXILIAR ARCHIVO HISTORICO PROVINCIAL ALACANT;CALLE GUILLEN DE CASTRO,  Nº 3;, CP 03007; TELF.965918750; FAX.965918754;HTTP://DGLAB.CULT.GVA.ES/ARXIUHISTORICALACANT/INDEX.HTM;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=AHPA;AHP_ALICANTE@GVA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA HOSPITAL GENERAL UNIVERSITARIO PROFESIONAL ALACANT;CALLE PINTOR BAEZA  Nº 12;, CP 03010; TELF.96 593 32 85; FAX.96 593 32 75; ; ;BIBLIOTECA_HGUA@GVA.ES / TRIGUEROS-ROS@GVA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA CEFIRE ALACANT;CALLE BAHÍA Nº 2;, CP 03008; TELF.965100284; FAX.965112457;HTTP://INTERCENTRES.CULT.GVA.ES/CEFIRE/03402009;HTTP://WWW.BEGV.GVA.ES/CEFIRE/VAL_TLPCEF.HTML;03402009@EDU.GVA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA ESPECIALIZADA;BIBLIOTECA ESPECIALIZADA DIRECCIÓN GENERAL DE FAMILIA Y MUJER ALACANT;AVENIDA OSCAR ESPLÀ Nº 33-35;, CP 03007; TELF.965929747; FAX.965920574;HTTP://WWW.BEGV.GVA.ES/DGM2/TDGM.HTML;HTTP://WWW.BEGV.GVA.ES/DGM2/TDGM.HTML;BIBLIOTECA.DGMI_ALIC@GVA.ES;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA TERCERA EDAD;BIBLIOTECA TERCERA EDAD  ALACANT;CALLE GRAL.PRIMO DE RIVERA Nº 14 ESC. EN;, CP 03002; TELF.965205141/965126977; ; ; ; ;N;PU;PÚBLICA;N
03;ALICANTE;14;BIBLIOTECA PUBLICA PROVINCIAL;BIBLIOTECA PUBLICA PROVINCIAL DE ALICANTE AZORIN ALACANT;CALLE PASEITO DE RAMIRO Nº 15;, CP 03002; TELF.965919710; FAX.965919711;HTTP://WWW.BIBLIOTECASPUBLICAS.ES/ALICANTE/INDEX.JSP;HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=BPEA;BPEA@GVA.ES;N;PU;PÚBLICA;S
