,COD_PROVINCIA,NOM_PROVINCIA,COD_MUNICIPIO,TIPO,NOMBRE,DIRECCION,COD_POSTAL,TELEFONO,FAX,WEB,CATALOGO,EMAIL,CENTRAL,COD_CARACTER,DESC_CARACTER,DECRETO,LATITUDE,LONGITUDE
20,3,ALICANTE,120,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL  SAN MIGUEL DE SALINAS,CALLE VICENTE BLASCO IBA?EZ Nº 1,", CP 03193", TELF.965720396, FAX.965720007 AYTO,HTTP://BIBLIOSANMIGUEL.EDUBLOGS.ORG,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0127,BIBLIOTECASMS@GMAIL.COM ,N,PU,PÚBLICA,S,37.9076577,-0.7447235
21,3,ALICANTE,121,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL INTERNACIONAL DE GRAN ALACANT SANTA POLA,AVENIDA ESCANDINAVIA Nº 31,", CP 03130", TELF.966697110, FAX.965413792,HTTP://WWW.BIBLIOTEQUES.WORDPRESS.COM ,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0023,SANTAPOLA.BIGA1@GMAIL.COM,N,PU,PÚBLICA,N,38.2162962,-0.5168039
22,3,ALICANTE,121,BIBLIOTECA INFANTIL,BIBLIOTECA INFANTIL  SANTA POLA,CALLE CASTA?OS Nº 10-12,", CP 03130", TELF.966694008, FAX.966693736,HTTP://WWW.BIBLIOTEQUES.WORDPRESS.COM,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0023,BIBLIOINF.SANTAPOLA@CV.GVA.ES/BIBLIOTECA.INFANTILSANTAPOLA@GMAIL.COM,N,PU,PÚBLICA,N,38.3444317,-0.484906
23,3,ALICANTE,121,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL  SANTA POLA,CALLE ELX Nº 26,", CP 03130", TELF.966692773, FAX.966792776,HTTP://WWW.BIBLIOTEQUES.WORDPRESS.COM,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0023,BIBLIOTECA.SANTAPOLA@GMAIL.COM,S,PU,PÚBLICA,N,38.4270595,-0.3990586
24,3,ALICANTE,122,BIBLIOTECA INFANTIL,BIBLIOTECA INFANTIL I JUVENIL MIGUEL HERNANDEZ SANT VICENT DEL RASPEIG,PLAZA DE LA COMUNITAT VALENCIANA Nº 2 ESC. BA,", CP 03690", TELF.966143649, ,HTTP://BIBLIOTECA.RASPEIG.ES,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0114,BIBLIOTECAINFANTIL@RASPEIG.ORG,N,PU,PÚBLICA,N,38.5085371,-0.2338506
25,3,ALICANTE,122,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL MIGUEL DELIBES SANT VICENT DEL RASPEIG,PLAZA HUERTO DE LOS LEONES Nº 1,", CP 03690", TELF.965667422, ,HTTP://BIBLIOTECA.RASPEIG.ES,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0114,BIBLIOTECA@RASPEIG.ORG,S,PU,PÚBLICA,S,38.39599870000001,-0.5190232
26,3,ALICANTE,123,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL JOSE AZUAR SAX,CALLE GRAN VIA Nº 48,", CP 03630", TELF.965475748, FAX.965475399 AYTO,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0102,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0102,BIBLIOTECA@SAX.ES,N,PU,PÚBLICA,N,39.1867339,-0.4802809
27,3,ALICANTE,124,OTRAS PÚBLICAS,OTRAS PÚBLICAS  SELLA,AVENIDA DE ALCOY Nº 13,", CP 03579", TELF.965879001 AYTO, FAX.965879556 AYTO, , ,BIBLIOTECADESELLA@GMAIL.COM,N,PU,PÚBLICA,N,38.3530003,-0.4862705999999999
28,3,ALICANTE,125,AGENCIA DE LECTURA,AGENCIA DE LECTURA GUILLERMO ZEILBECK SENIJA,AVENIDA CONSTITUCION Nº S/N,", CP 03729", TELF.626831453, FAX.965732273 AYTO,HTTP://WWW.BIBLIOTECASPUBLICAS.ES/SENIJA,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0142,AGENCIA_SENITJA@HOTMAIL.COM,N,PU,PÚBLICA,N,39.4862044,-1.0933935
29,3,ALICANTE,128,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL  TEULADA,AVENIDA DE SANTA CATERINA Nº 2,", CP 03725", TELF.965740158 EXT-1803, FAX.965740166,HTTP://WWW.TEULADAMORAIRA.ORG/INDEX.PHP?OPTION=COM_CONTENT&VIEW=ARTICLE&ID=100&ITEMID=508&LANG=ES,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0088,BIBLIOTECA@TEULADAMORAIRA.ORG / AIVARSB@TEULADAMORAIRA.ORG,S,PU,PÚBLICA,N,38.7285384,0.1048639
30,3,ALICANTE,128,AGENCIA DE LECTURA,"AGENCIA DE LECTURA MORAIRA-ESPAI ""LA SENIETA"" TEULADA",AVENIDA MADRID Nº 15 PISO 1?,", CP 03724", TELF.966490976 EXT.2, FAX.965741287,HTTP://WWW.TEULADAMORAIRA.ORG/INDEX.PHP?OPTION=COM_CONTENT&VIEW=ARTICLE&ID=100&ITEMID=508&LANG=ES.,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0088,BIBLIOTECA@TEULADAMORAIRA.ORG / MVIVESS@TEULADAMORAIRA.ORG,N,PU,PÚBLICA,N,39.5616861,-0.2901036
31,3,ALICANTE,129,AGENCIA DE LECTURA,AGENCIA DE LECTURA  TIBI,PASEO LA SANTA Nº S/N,", CP 03109", TELF.965617152, FAX.965617141 AYTO, ,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0176,BIBLIOTECA@TIBI.ES,N,PU,PÚBLICA,S,38.53346519999999,-0.5740803
32,3,ALICANTE,13,OTRAS PÚBLICAS,OTRAS PÚBLICAS  ALGUEÑA,PLAZA DE LA CONCORDIA Nº S/N,", CP 03668", TELF.965476001 AYTO, FAX.965476300 AYTO, , ,CULTURA@ALGUENYA.ES,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
33,3,ALICANTE,133,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL CARMEN JALON TORREVIEJA,CALLE JOAQUIN CHAPAPRIETA Nº 39,", CP 03181", TELF.965703168, ,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0066,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0066,TORREVIEJA.BIBLIOTECA@CV.GVA.ES,N,PU,PÚBLICA,S,37.9786924,-0.6812693999999999
34,3,ALICANTE,133,AGENCIA DE LECTURA,AGENCIA DE LECTURA  TORREVIEJA,AVENIDA DIEGO RAMIREZ PASTOR Nº 5,", CP 03181", TELF.965074323, , ,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0066,AGENCIA.LECTURA@TORREVIEJA.EU,N,PU,PÚBLICA,S,37.9795558,-0.690272
35,3,ALICANTE,136,OTRAS PÚBLICAS,OTRAS PÚBLICAS  BENIALI,CARRETERA 35 DE BENIALI PISO 1,", CP 03787", TELF.966406553 AYTO, FAX.966406566 AYTO, , ,AJGALLINERA@GMAIL.COM,N,PU,PÚBLICA,N,38.8210281,-0.2214483
36,3,ALICANTE,137,AGENCIA DE LECTURA,AGENCIA DE LECTURA  FLEIX,CALLE L'ERA Nº 1,", CP 03791", TELF.965583301 AYTO, FAX.965583301 AYTO, , , ,N,PU,PÚBLICA,N,38.4022795,-0.431896
37,3,ALICANTE,137,AGENCIA DE LECTURA,AGENCIA DE LECTURA  CAMPELL,CALLE REI EN JAUME Nº 33 PISO 1,", CP 03791", TELF.965583301 AYTO, FAX.965583310 AYTO, , , ,N,PU,PÚBLICA,N,39.5858702,-0.3368327
38,3,ALICANTE,137,AGENCIA DE LECTURA,AGENCIA DE LECTURA  BENIMAURELL,PLAZA DEL SACRAMENTO Nº 1 PISO 1,", CP 03791", TELF.965583301 AYTO, FAX.965583310 AYTO, , , ,N,PU,PÚBLICA,N,38.5815719,-121.4943996
39,3,ALICANTE,138,AGENCIA DE LECTURA,AGENCIA DE LECTURA  VERGER (EL),CALLE MESTRE JOSE VIVES Nº 8,", CP 03770", TELF.673625250, FAX.965750872 AYTO, ,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0191,BIBLIOTECA@ELVERGER.ES,N,PU,PÚBLICA,S,38.8422317,0.0086049
40,3,ALICANTE,139,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL CRISTOBAL ZARAGOZA VILA JOIOSA (LA),CALLE BARRANQUET Nº 4,", CP 03570", TELF.965891698, FAX.966853057,HTTP://WWW.VILLAJOYOSA.COM/SITES/BIBLIOTECA/,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0073,BIBLIOTECA@VILLAJOYOSA.COM,N,PU,PÚBLICA,N,38.3902557,-0.4426561
41,3,ALICANTE,14,BIBLIOTECA UNIVERSITARIA,BIBLIOTECA UNIVERSITARIA GENERAL ALACANT,CALLE APDO. CORREOS Nº 99,", CP 03080", TELF.965903400/3479, FAX.965909692/3735,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM,SIBID@UA.ES,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
42,3,ALICANTE,14,BIBLIOTECA UNIVERSITARIA,BIBLIOTECA UNIVERSITARIA DE FILOSOFÍA Y LETRAS-CAMPUS SANT VICENT RASPEIG ALACANT,EDIFICIO BIBLIOTECA GENERAL-APDO. CORREOS Nº 99,", CP 03080", TELF.965903400/2814/3016, FAX.965909361,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM,BIBLI.FL@UA.ES ,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
43,3,ALICANTE,14,BIBLIOTECA UNIVERSITARIA,BIBLIOTECA UNIVERSITARIA DE ECONÓMICAS Y EMPRESARIALES FACULTAD CIENCIAS ECONÓMICAS ALACANT,CARRETERA SAN VICENTE DEL RASPEIG S/N-APDO.CORREOS Nº 99,", CP 03080", TELF.965903400/3130/3392, FAX.965903624,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM,BIBLI.ECONOMIQUES@UA.ES,N,PU,PÚBLICA,N,38.3976973,-0.5379891
44,3,ALICANTE,14,BIBLIOTECA UNIVERSITARIA,BIBLIOTECA UNIVERSITARIA DE DERECHO ALACANT,N/C APDO. CORREOS Nº 99,", CP 03080", TELF.965903574/965909337, FAX.965903630,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM,BIBLI.DRET@UA.ES,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
45,3,ALICANTE,14,BIBLIOTECA UNIVERSITARIA,BIBLIOTECA UNIVERSITARIA POLITÉCNICA Y ENFERMERÍA CAMPUS SANT VICENT RASPEIG ALACANT,EDIFICIO BIBLIOTECA GENERAL.APDO CORREOS Nº 99,", CP 03080", TELF.965903400 EXT-3398, ,HTTP://BIBLIOTECA.UA.ES/ES/POLITECNICA-ENFERMERIA/  ,HTTP://GAUDI.UA.ES,BIBLI.EPS@UA.ES,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
46,3,ALICANTE,14,BIBLIOTECA UNIVERSITARIA,BIBLIOTECA UNIVERSITARIA DE GEOGRAFÍA ALACANT,N/C APDO. CORREOS Nº 99,", CP 03080", TELF.965909436/965903423, FAX.965903423,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM,BIBLI.GEOGRAFIA@UA.ES,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
47,3,ALICANTE,14,BIBLIOTECA UNIVERSITARIA,BIBLIOTECA UNIVERSITARIA DE EDUCACIÓN ALACANT,CARRETERA SAN VICENTE DEL RASPEIG S/N.APDO.CORREOS Nº 99,", CP 03080", TELF.965903738/965909622, FAX.965909482,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CENTROS/INDEX.HTM,HTTP://WWW.UA.ES/ES/BIBLIOTECAS/SIBID/CATALOGOS/WEBCAT.HTM,BIBLI.MAGISTERI@UA.ES,N,PU,PÚBLICA,N,38.3976973,-0.5379891
48,3,ALICANTE,14,BIBLIOTECA ESPECIALIZADA,BIBLIOTECA ESPECIALIZADA ALICANTINA-INSTITUTO DE CULTURA JUAN GIL-ALBERT ALACANT,CALLE SAN FERNANDO Nº 44,", CP 03001", TELF.965121214/6, FAX.965921824,HTTP://WWW.DIP-ALICANTE.ES/GA/GILALBERT/,HTTP://ABSYS.DIP-ALICANTE.ES/CGI-BIN/ABWEBP.EXE,GALBERT@DIP-ALICANTE.ES,N,PU,PÚBLICA,N,38.3427064,-0.4860273000000001
49,3,ALICANTE,14,BIBLIOTECA ESPECIALIZADA,"BIBLIOTECA ESPECIALIZADA C O APAREJADORES,ARQUITECTOS E INGENIEROS DE LA EDIFICACIÓN ALACANT",CALLE CÁTEDRA FERRÉ VIDIELLA Nº 7,", CP 03005", TELF.965227817, FAX.965124404 ,HTTP://WWW.COAATALICANTE.ORG/, ,BIBLIOTECA@APAREJADORESALICANTE.ORG,N,PR,PRIVADA,N,38.3458745,-0.4933406
50,3,ALICANTE,14,BIBLIOTECA PUBLICA MUNICIPAL,BIBLIOTECA PUBLICA MUNICIPAL CENTRAL FLORIDA-BABEL ALACANT,AVENIDA ALCALDE LORENZO CARBONELL Nº 58,", CP 03007", TELF.965107167, ,HTTP://HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117,HTTP://HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117,BIBLIOTECA.FLORIDA.BABEL@ALICANTE-AYTO.ES,S,PU,PÚBLICA,S,38.3390648,-0.5144596
51,3,ALICANTE,14,AGENCIA DE LECTURA,AGENCIA DE LECTURA JUAN XXIII ALACANT,CALLE BARITONO PACO LATORRE Nº S/N,", CP 03015", TELF.965176575, ,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117,BIBLIOTECA.JUAN23@ALICANTE-AYTO.ES,N,PU,PÚBLICA,N,38.3761491,-0.4815763999999999
52,3,ALICANTE,14,BIBLIOTECA PRIVADA,BIBLIOTECA PRIVADA REAL LICEO CASINO DE ALICANTE ALACANT,EXPLANADA DE ESPAÑA Nº 16,", CP 03001", TELF.965213829, FAX.965213829,HTTP://REALLICEOCASINOALICANTE.COM/INSTITUCION/BIBLIOTECA.HTM, ,CASINOALICANTE@REALLICEO.ES,N,PR,PRIVADA,N,38.34313789999999,-0.4842888999999999
53,3,ALICANTE,14,BIBLIOTECA PENITENCIARIA,BIBLIOTECA PENITENCIARIA CENTRO PENITENCIARIO-CUMPLIMIENTO FONTCALENT ALACANT,POLÍGONO PLA DE LA VALLONGA Nº S/N,", CP 03071", TELF.965287355-EXT 154, FAX.965287944, , , ,N,PU,PÚBLICA,N,38.3508467,-0.5506019999999999
54,3,ALICANTE,14,BIBLIOTECA ESPECIALIZADA,BIBLIOTECA ESPECIALIZADA ILUSTRE COLEGIO PROVINCIAL DE ABOGADOS ALACANT,CALLE GRAVINA Nº 4 PISO 2,", CP 03002", TELF.965145180-EXT 21-24, FAX.965200788,HTTP://WWW.ICALI.ES, ,BIBLIOTECA@ICALI.ES,N,PR,PRIVADA,N,38.34504870000001,-0.4799919
55,3,ALICANTE,14,BIBLIOTECA HOSPITALARIA,BIBLIOTECA HOSPITALARIA HOSPITAL GENERAL UNIVERSITARIO ALACANT,CALLE PINTOR BAEZA Nº 12,", CP 03010", TELF.965937940, FAX.965938234, , ,CANTO_JOS@GVA.ES,N,PU,PÚBLICA,N,38.4005329,-0.4345198
56,3,ALICANTE,14,AGENCIA DE LECTURA,AGENCIA DE LECTURA DE VILLAFRANQUEZA ALACANT,CALLE CASTELAR Nº 42,", CP 03112", TELF.965181090, ,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=0117,BIBLIOTECA.VILLAFRANQUEZA@ALICANTE-AYTO.ES,N,PU,PÚBLICA,S,38.3850438,-0.4921601
57,3,ALICANTE,14,BIBLIOTECA GENERAL,BIBLIOTECA GENERAL GABRIEL MIRÓ (LA CAM) ALACANT,AVENIDA RAMÓN Y CAJAL Nº 5,", CP 03003", TELF..966012571/966012557, ,HTTP://WWW.BIBLIOTECASCAJAMEDITERRANEO.ES,HTTP://HTTP://WWW.REDBIBLIOTECASCAM.COM/WEB-SLSCAM/INDEX.HTM,BIBLIOTECAS@CAJAMEDITERRANEO.ES,N,PR,PRIVADA,N,38.3410012,-0.4876227
58,3,ALICANTE,14,CENTRO DE DOCUMENTACION,CENTRO DE DOCUMENTACION EUROPEA  UNIVERSIDAD DE ALICANTE ALACANT,EDIFICIO Nº36 GERMÁN BERNÁCER.APARTADO 99,", CP 03080", TELF.965909800/5903841, FAX.965909810,HTTP://WWW.CDE.UA.ES/, ,CDE@UAFG.NET,N,PU,PÚBLICA,N,39.4840108,-0.7532808999999999
59,3,ALICANTE,14,BIBLIOTECA AUXILIAR ARCHIVO,BIBLIOTECA AUXILIAR ARCHIVO HISTORICO PROVINCIAL ALACANT,"CALLE GUILLEN DE CASTRO,  Nº 3",", CP 03007", TELF.965918750, FAX.965918754,HTTP://DGLAB.CULT.GVA.ES/ARXIUHISTORICALACANT/INDEX.HTM,HTTP://XLPV.CULT.GVA.ES/CGINET-BIN/ABNETOP?SUBC=AHPA,AHP_ALICANTE@GVA.ES,N,PU,PÚBLICA,N,39.4681455,-0.3801979
